name,sumid,summass (g),sumreclat,sumreclong,count
Netherlands,14.80000,58257.00000,11880.00000,155.51667,3.00000
Norway,114.99834,218915.00000,108545.80000,683.51499,11.00000
Nepal,,,,,
New Zealand,1386.29360,141489.00000,124200.00000,-336.27473,8.00000
Oman,171540.52048,97478951.00000,6704182.05600,60402.67258,3093.00000
Pakistan,1051.76888,228523.00000,138956.60000,442.08943,15.00000
Panama,,,,,
Peru,-150.27511,68674.00000,144740.00000,-29.19988,2.00000
Philippines,487.88916,59366.00000,901745.00000,54.41000,4.00000
Papua New Guinea,145.36667,12004.00000,7330.00000,-6.03333,1.00000
Poland,413.24455,424836.00000,805428.20000,1139.16273,22.00000
Puerto Rico,,,,,
North Korea,126.91667,23580.00000,101.00000,40.31667,1.00000
Portugal,-48.38361,106043.00000,216635.00000,235.63139,6.00000
Paraguay,-56.50000,24181.00000,0.00000,-25.83333,1.00000
Qatar,50.78333,12292.00000,1500.00000,25.43333,1.00000
Romania,216.53471,185975.00000,374498.00000,414.90834,9.00000
Russia,10096.15265,2531744.00000,32064776.90000,7202.69545,131.00000
Rwanda,29.83333,22780.00000,465.50000,-1.45000,1.00000
Western Sahara,-73.63812,278637.00000,19008.90000,146.09157,6.00000
Saudi Arabia,1545.35829,606338.00000,4172908.39800,659.54787,31.00000
Sudan,216.95608,127349.00000,121617.40000,104.87275,7.00000
South Sudan,94.63333,43066.00000,16555.00000,18.86667,3.00000
Senegal,,,,,
Solomon Islands,,,,,
Sierra Leone,,,,,
El Salvador,,,,,
Somaliland,,,,,
Somalia,135.50000,39318.00000,392000.00000,9.98334,3.00000
Republic of Serbia,82.87500,52366.00000,116127.00000,175.10556,4.00000
Suriname,,,,,
Slovakia,139.44233,157101.00000,284076.00000,343.29501,7.00000
Slovenia,28.24383,105078.00000,8587.00000,92.58381,2.00000
Sweden,1098.11645,3273138.00000,315434.50000,4646.61645,79.00000
Swaziland,31.31667,7755.00000,3230.00000,-27.20000,1.00000
Syria,37.13333,462.00000,3200.00000,36.23333,1.00000
Chad,31.20000,23098.00000,4562.40000,24.08333,2.00000
Togo,,,,,
Thailand,300.28055,70484.00000,43254.00000,49.48833,3.00000
Tajikistan,,,,,
Turkmenistan,357.82667,43204.00000,1111549.10000,241.20611,6.00000
East Timor,,,,,
Trinidad and Tobago,,,,,
Tunisia,359.69055,1651808.00000,81430.00000,1181.10187,36.00000
Turkey,399.64735,211902.00000,218843.00000,502.46500,13.00000
Taiwan,,,,,
United Republic of Tanzania,310.51667,138240.00000,16013984.70000,-61.96668,9.00000
Uganda,227.68944,167117.00000,158578.70000,10.99500,7.00000
Ukraine,1264.39177,545741.00000,1279657.20000,1919.76942,39.00000
Uruguay,-56.00000,4980.00000,80000.00000,-33.00000,1.00000
United States of America,-170817.68999,33893143.00000,90822871.33000,60371.97440,1659.00000
Uzbekistan,127.11702,54546.00000,6300.00000,81.54645,2.00000
Venezuela,-201.67833,65088.00000,84590.00000,25.26667,3.00000
Vietnam,322.35000,61681.00000,24600.00000,36.63334,3.00000
Vanuatu,,,,,
West Bank,,,,,
Yemen,145.63667,60707.00000,11400.00000,47.21111,3.00000
South Africa,1015.25730,609068.00000,2810915.00000,-1238.58080,41.00000
Zambia,27.35000,16733.00000,0.00000,-15.96667,1.00000
Zimbabwe,93.65722,46176.00000,94466.60000,-54.03583,3.00000
