name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation,name_2
Dhofar 571,7332,Valid,H5,371.00000,Found,01/01/2001 12:00:00 AM,18.71905,54.36962,"(18.71905, 54.36962)",Oman
Dhofar 572,7333,Valid,H5,289.00000,Found,01/01/2001 12:00:00 AM,18.70292,54.36708,"(18.70292, 54.36708)",Oman
Dhofar 573,7334,Valid,H5,55.00000,Found,01/01/2001 12:00:00 AM,18.70173,54.36642,"(18.70173, 54.36642)",Oman
Dhofar 574,7335,Valid,H5,687.00000,Found,01/01/2001 12:00:00 AM,18.72810,54.38103,"(18.7281, 54.38103)",Oman
Dhofar 575,7336,Valid,L6,127.00000,Found,01/01/2001 12:00:00 AM,18.67100,54.42017,"(18.671, 54.42017)",Oman
Dhofar 576,7337,Valid,H5,183.00000,Found,01/01/2001 12:00:00 AM,18.67985,54.41197,"(18.67985, 54.41197)",Oman
Dhofar 577,7338,Valid,H6,494.00000,Found,01/01/2001 12:00:00 AM,18.68110,54.39833,"(18.6811, 54.39833)",Oman
Dhofar 578,7339,Valid,L6,108.00000,Found,01/01/2001 12:00:00 AM,18.76628,54.66063,"(18.76628, 54.66063)",Oman
Dhofar 579,7340,Valid,H5/6,206.00000,Found,01/01/2001 12:00:00 AM,18.71983,54.19695,"(18.71983, 54.19695)",Oman
Dhofar 580,7341,Valid,LL6,812.00000,Found,01/01/2001 12:00:00 AM,18.71505,54.19682,"(18.71505, 54.19682)",Oman
Dhofar 582,7342,Valid,H5-6,473.00000,Found,01/01/2001 12:00:00 AM,18.72347,54.19185,"(18.72347, 54.19185)",Oman
Dhofar 583,7343,Valid,H6,1378.00000,Found,01/01/2001 12:00:00 AM,18.72495,54.18720,"(18.72495, 54.1872)",Oman
Dhofar 587,7344,Valid,H5,537.00000,Found,01/01/2001 12:00:00 AM,18.72460,54.19162,"(18.7246, 54.19162)",Oman
Dhofar 588,7345,Valid,L5/6,226.00000,Found,01/01/2001 12:00:00 AM,18.69955,54.19663,"(18.69955, 54.19663)",Oman
Dhofar 589,7346,Valid,H4/5,83.00000,Found,01/01/2001 12:00:00 AM,18.70103,54.18573,"(18.70103, 54.18573)",Oman
Dhofar 590,7347,Valid,H6,379.00000,Found,01/01/2001 12:00:00 AM,18.70563,54.18152,"(18.70563, 54.18152)",Oman
Dhofar 591,7348,Valid,H4,215.00000,Found,01/01/2001 12:00:00 AM,18.69217,54.20140,"(18.69217, 54.2014)",Oman
Dhofar 592,7349,Valid,L5/6,108.00000,Found,01/01/2001 12:00:00 AM,18.69238,54.19085,"(18.69238, 54.19085)",Oman
Dhofar 593,7350,Valid,H4,182.00000,Found,01/01/2001 12:00:00 AM,18.73860,54.21205,"(18.7386, 54.21205)",Oman
Dhofar 594,7351,Valid,H3-6,1806.00000,Found,01/01/2001 12:00:00 AM,18.72470,54.39503,"(18.7247, 54.39503)",Oman
Dhofar 595,7352,Valid,H5,334.00000,Found,01/01/2001 12:00:00 AM,18.74012,54.37328,"(18.74012, 54.37328)",Oman
Dhofar 596,7353,Valid,H5,764.00000,Found,01/01/2001 12:00:00 AM,18.73950,54.37357,"(18.7395, 54.37357)",Oman
Dhofar 597,7354,Valid,H5,723.00000,Found,01/01/2001 12:00:00 AM,18.74225,54.37987,"(18.74225, 54.37987)",Oman
Dhofar 598,7355,Valid,H5/6,36.00000,Found,01/01/2001 12:00:00 AM,18.44000,54.47935,"(18.44, 54.47935)",Oman
Dhofar 599,7356,Valid,L6,465.00000,Found,01/01/2001 12:00:00 AM,18.69087,54.70480,"(18.69087, 54.7048)",Oman
Dhofar 600,7357,Valid,L6,183.00000,Found,01/01/2001 12:00:00 AM,18.69120,54.68360,"(18.6912, 54.6836)",Oman
Dhofar 601,7358,Valid,H6,226.00000,Found,01/01/2001 12:00:00 AM,18.68805,54.67873,"(18.68805, 54.67873)",Oman
Dhofar 602,7359,Valid,H5/6,137.00000,Found,01/01/2001 12:00:00 AM,18.70712,54.18305,"(18.70712, 54.18305)",Oman
Dhofar 603,7360,Valid,L4,245.00000,Found,01/01/2001 12:00:00 AM,18.72913,54.18748,"(18.72913, 54.18748)",Oman
