name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Battle Mountain,56133,Valid,L6,2900,Fell,01/01/2012 12:00:00 AM,40.66813,-117.18913,"(40.66813, -117.18913)"
Boumdeid (2011),57167,Valid,L6,3599,Fell,01/01/2011 12:00:00 AM,17.17493,-11.34133,"(17.17493, -11.34133)"
Chelyabinsk,57165,Valid,LL5,100000,Fell,01/01/2013 12:00:00 AM,54.81667,61.11667,"(54.81667, 61.11667)"
Huaxi,54719,Valid,H5,1600,Fell,01/01/2010 12:00:00 AM,26.46469,106.63241,"(26.46469, 106.63241)"
Košice,53810,Valid,H5,4300,Fell,01/01/2010 12:00:00 AM,48.76367,21.17633,"(48.76367, 21.17633)"
Lorton,52843,Valid,L6,329.7,Fell,01/01/2010 12:00:00 AM,38.70066,-77.21163,"(38.70066, -77.21163)"
Mason Gully,53653,Valid,H5,24.54,Fell,01/01/2010 12:00:00 AM,0,0,"(0.0, 0.0)"
Mifflin,52090,Valid,L5,3584,Fell,01/01/2010 12:00:00 AM,42.9075,-90.36556,"(42.9075, -90.36556)"
Sołtmany,53829,Valid,L6,1066,Fell,01/01/2011 12:00:00 AM,54.00883,22.005,"(54.00883, 22.005)"
Sutter's Mill,55529,Valid,C,992.5,Fell,01/01/2012 12:00:00 AM,38.80389,-120.90806,"(38.80389, -120.90806)"
Thika,54493,Valid,L6,14200,Fell,01/01/2011 12:00:00 AM,-1.00278,37.15028,"(-1.00278, 37.15028)"
Tissint,54823,Valid,Martian (shergottite),7000,Fell,01/01/2011 12:00:00 AM,29.48195,-7.61123,"(29.48195, -7.61123)"
Varre-Sai,53633,Valid,L5,2500,Fell,01/01/2010 12:00:00 AM,-20.85001,-41.73356,"(-20.85001, -41.73356)"
Al Huwaysah 003,55405,Valid,L4-6,273.05,Found,01/01/2010 12:00:00 AM,22.74862,55.37323,"(22.74862, 55.37323)"
Al Huwaysah 004,55406,Valid,H5,141.51,Found,01/01/2010 12:00:00 AM,22.74733,55.39522,"(22.74733, 55.39522)"
Al Huwaysah 005,55636,Valid,L(LL)3.5-3.7,1228.1,Found,01/01/2010 12:00:00 AM,22.73342,55.33122,"(22.73342, 55.33122)"
Al Huwaysah 006,55407,Valid,L6,16.41,Found,01/01/2010 12:00:00 AM,22.73743,55.3191,"(22.73743, 55.3191)"
Al Huwaysah 007,55408,Valid,L6,1.56,Found,01/01/2010 12:00:00 AM,22.73393,55.3204,"(22.73393, 55.3204)"
Al Huwaysah 008,55409,Valid,H4,356.2,Found,01/01/2010 12:00:00 AM,22.73797,55.32125,"(22.73797, 55.32125)"
Al Huwaysah 009,55410,Valid,H6,3407.8,Found,01/01/2010 12:00:00 AM,22.75747,55.41402,"(22.75747, 55.41402)"
Al Huwaysah 010,55637,Valid,Achondrite-ung,1411.8,Found,01/01/2010 12:00:00 AM,22.74868,55.47218,"(22.74868, 55.47218)"
Al Huwaysah 011,55411,Valid,L4-5,112.76,Found,01/01/2010 12:00:00 AM,22.75978,55.3908,"(22.75978, 55.3908)"
Al Huwaysah 012,55412,Valid,H5,4694.9,Found,01/01/2010 12:00:00 AM,22.67752,55.34027,"(22.67752, 55.34027)"
Al Huwaysah 013,56408,Valid,H6,55.51,Found,01/01/2010 12:00:00 AM,22.68423,55.33652,"(22.68423, 55.33652)"
Al Huwaysah 014,55413,Valid,H6,45.52,Found,01/01/2010 12:00:00 AM,22.68598,55.32092,"(22.68598, 55.32092)"
Al Huwaysah 015,56409,Valid,H6,35.3,Found,01/01/2010 12:00:00 AM,22.68922,55.32087,"(22.68922, 55.32087)"
Al Huwaysah 016,55414,Valid,H5,1330.9,Found,01/01/2010 12:00:00 AM,22.69813,55.3336,"(22.69813, 55.3336)"
Al Huwaysah 017,55415,Valid,L6,439.58,Found,01/01/2010 12:00:00 AM,22.73852,55.36247,"(22.73852, 55.36247)"
Alkali Flat,55662,Valid,L5,28,Found,01/01/2011 12:00:00 AM,32.306,-108.9038,"(32.306, -108.9038)"
Allan Hills 10910,56771,Valid,L5,444.1,Found,01/01/2010 12:00:00 AM,0,0,"(0.0, 0.0)"
Allan Hills 10911,56772,Valid,L6,218.9,Found,01/01/2010 12:00:00 AM,0,0,"(0.0, 0.0)"
Allan Hills 10912,56773,Valid,H6,60.3,Found,01/01/2010 12:00:00 AM,0,0,"(0.0, 0.0)"
Antelope,57455,Valid,H4,754,Found,01/01/2012 12:00:00 AM,40.90183,-118.54465,"(40.90183, -118.54465)"
Anthony Gap,56391,Valid,L6,347.36,Found,01/01/2011 12:00:00 AM,32.00584,-106.56028,"(32.00584, -106.56028)"
Ashuwairif 005,56099,Valid,H4,335,Found,01/01/2010 12:00:00 AM,29.3945,14.29233,"(29.3945, 14.29233)"
Aubrey Hills,56393,Valid,H6,560.8,Found,01/01/2010 12:00:00 AM,34.38063,-114.16705,"(34.38063, -114.16705)"
Benešov (a),54854,Valid,LL3.5,9.72,Found,01/01/2011 12:00:00 AM,49.76667,14.63333,"(49.76667, 14.63333)"
Benešov (b),54855,Valid,H5,1.54,Found,01/01/2011 12:00:00 AM,49.76667,14.63333,"(49.76667, 14.63333)"
Biduna Blowhole 002,54929,Valid,L4,13,Found,01/01/2011 12:00:00 AM,-31.03297,131.28547,"(-31.03297, 131.28547)"
Biduna Blowhole 003,54930,Valid,L6,0.4,Found,01/01/2011 12:00:00 AM,-31.01964,131.30394,"(-31.01964, 131.30394)"
Biduna Blowhole 004,56590,Valid,H5,114.5,Found,01/01/2011 12:00:00 AM,-31.03278,131.28553,"(-31.03278, 131.28553)"
Bou Azarif,53812,Valid,H5,100000,Found,01/01/2010 12:00:00 AM,31.15643,-5.15262,"(31.15643, -5.15262)"
Bou Kra 002,57216,Valid,L5,606,Found,01/01/2010 12:00:00 AM,26.74853,-12.70978,"(26.74853, -12.70978)"
Bou Kra 003,57217,Valid,L6,50,Found,01/01/2010 12:00:00 AM,26.81089,-12.71864,"(26.81089, -12.71864)"
Bou Kra 004,57347,Valid,Eucrite-mmict,272.75,Found,01/01/2010 12:00:00 AM,26.707,-12.759,"(26.707, -12.759)"
Bou Kra 005,57348,Valid,CM2,31.14,Found,01/01/2010 12:00:00 AM,26.819,-12.724,"(26.819, -12.724)"
