name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation,Weight (Kg),years
View Hill,24173,Valid,"Iron, IIIAB",33600,Found,01/01/1952 12:00:00 AM,-43.32,172.06333,"(-43.32, 172.06333)",33.6,1952
Walltown,24208,Valid,L6,1600,Found,01/01/1956 12:00:00 AM,37.325,-84.71667,"(37.325, -84.71667)",1.6,1956
Wedderburn,24229,Valid,"Iron, IAB-sLH",210,Found,01/01/1951 12:00:00 AM,-36.43333,143.63333,"(-36.43333, 143.63333)",0.21,1951
Wellington,24236,Valid,H5,13400,Found,01/01/1955 12:00:00 AM,34.95,-100.25,"(34.95, -100.25)",13.4,1955
Willowdale,24279,Valid,H4,3000,Found,01/01/1951 12:00:00 AM,37.53333,-98.36667,"(37.53333, -98.36667)",3,1951
Wingellina,24284,Valid,H4,200,Found,01/01/1958 12:00:00 AM,-26.05,128.95,"(-26.05, 128.95)",0.2,1958
Withrow,24320,Valid,"Iron, IIIAB?",8732,Found,01/01/1950 12:00:00 AM,47.70667,-119.83,"(47.70667, -119.83)",8.732,1950
Woodbine,24330,Valid,"Iron, IAB-ung",48200,Found,01/01/1953 12:00:00 AM,42.34667,-90.1675,"(42.34667, -90.1675)",48.2,1953
Yorktown (Texas),30371,Valid,H5,3500,Found,01/01/1957 12:00:00 AM,28.95,-97.40278,"(28.95, -97.40278)",3.5,1957
Zenda,30400,Valid,"Iron, IAB complex",3700,Found,01/01/1955 12:00:00 AM,42.51333,-88.48944,"(42.51333, -88.48944)",3.7,1955
Zerkaly,31354,Valid,H5,16000,Found,01/01/1956 12:00:00 AM,52.13333,81.96667,"(52.13333, 81.96667)",16,1956
